Solanum lycopersicum,Tomato,Vegetable
Capsicum annuum,Bell Pepper,Vegetable
Cucumis sativus,Cucumber,Vegetable
Brassica oleracea var. italica,Broccoli,Vegetable
Brassica oleracea var. gemmifera,Brussels Sprouts,Vegetable
Brassica oleracea var. capitata,Cabbage,Vegetable
Brassica oleracea var. botrytis,Cauliflower,Vegetable
Allium cepa,Onion,Vegetable
Allium sativum,Garlic,Vegetable
Beta vulgaris,Beet,Vegetable
Daucus carota,Carrot,Vegetable
Cucurbita pepo,Zucchini,Vegetable
Solanum melongena,Eggplant,Vegetable
Phaseolus vulgaris,Green Bean,Vegetable
Pisum sativum,Peas,Vegetable
Lactuca sativa,Lettuce,Vegetable
Spinacia oleracea,Spinach,Vegetable
Raphanus sativus,Radish,Vegetable
Solanum tuberosum,Potato,Vegetable
Cucurbita moschata,Butternut Squash,Vegetable
Cucurbita maxima,Pumpkin,Vegetable
Cucurbita pepo var. melopepo,Acorn Squash,Vegetable
Solanum melongena var. esculentum,Japanese Eggplant,Vegetable
Solanum lycopersicum var. cerasiforme,Cherry Tomato,Vegetable
Solanum melongena var. depressum,Thai Eggplant,Vegetable
Beta vulgaris var. cicla,Swiss Chard,Vegetable
Lactuca sativa var. capitata,Iceberg Lettuce,Vegetable
Lactuca sativa var. longifolia,Romaine Lettuce,Vegetable
Cucurbita pepo var. pepo,Yellow Squash,Vegetable
Cucumis melo,Melon,Vegetable
Citrullus lanatus,Watermelon,Vegetable
Cucurbita ficifolia,Chilacayote Squash,Vegetable
Cucumis anguria,West Indian Gherkin,Vegetable
Lactuca sativa var. crispa,Leaf Lettuce,Vegetable
Solanum melongena var. serpentinum,Snake Eggplant,Vegetable
Solanum aethiopicum,Scarlet Eggplant,Vegetable
Solanum muricatum,Pepino Melon,Vegetable
Cucumis sativus var. sativus,English Cucumber,Vegetable
Cucumis sativus var. hardwickii,Armenian Cucumber,Vegetable
Lycopersicon pimpinellifolium,Cherry Tomato,Vegetable
Cucurbita ficifolia var. hispida,Chinese Squash,Vegetable
Lactuca sativa var. crispa,Curly Lettuce,Vegetable
Solanum melongena var. insanum,African Eggplant,Vegetable
Malus domestica,Apple,Fruit
Citrus limon,Lemon,Fruit
Citrus sinensis,Orange,Fruit
Citrus reticulata,Mandarin,Fruit
Ananas comosus,Pineapple,Fruit
Prunus persica,Peach,Fruit
Phaseolus vulgaris,Common Bean,Legume
Glycine max,Soybean,Legume
Pisum sativum,Garden Pea,Legume
Vigna radiata,Mung Bean,Legume
Vigna unguiculata,Cowpea,Legume
Cajanus cajan,Pigeon Pea,Legume
Lens culinaris,Lentil,Legume
Cicer arietinum,Chickpea,Legume
Vicia faba,Fava Bean,Legume
Arachis hypogaea,Peanut,Legume
Lupinus angustifolius,Narrow-leafed Lupin,Legume
Lathyrus odoratus,Sweet Pea,Legume
Trifolium pratense,Red Clover,Legume
Medicago sativa,Alfalfa,Legume
Glycyrrhiza glabra,Licorice,Legume
Robinia pseudoacacia,Black Locust,Legume
Senna obtusifolia,Sicklepod,Legume
Sesbania sesban,Agati,Legume
Lablab purpureus,Hyacinth Bean,Legume
Crotalaria juncea,Sunn Hemp,Legume
Macroptilium lathyroides,Wild Bush Bean,Legume
Melilotus officinalis,Yellow Sweet Clover,Legume
Vicia hirsuta,Tufted Vetch,Legume
Canavalia ensiformis,Jack Bean,Legume
Crotalaria spectabilis,Tropical Soda Apple,Legume
Desmodium intortum,Greenleaf Desmodium,Legume
Dolichos lablab,Lablab Bean,Legume
Glycine wightii,Wight's Glycine,Legume
